kind,kit,category,name,ui_base,registry_file,source_files,preview_image,upstream_url
block,quartz,header,header-4,radix,registry/radix/pro/header-4.json,source/radix/pro/blocks/header/four/index.tsx,previews/quartz/header-4.png,https://tailark.com/r/radix/header-4.json
block,quartz,header,header-5,base,registry/base/pro/header-5.json,source/base/pro/blocks/header/five/index.tsx,previews/quartz/header-5.png,https://tailark.com/r/header-5.json
block,quartz,header,header-5,radix,registry/radix/pro/header-5.json,source/radix/pro/blocks/header/five/index.tsx,previews/quartz/header-5.png,https://tailark.com/r/radix/header-5.json
block,quartz,header,header-6,base,registry/base/pro/header-6.json,source/base/pro/blocks/header/six/index.tsx,previews/quartz/header-6.png,https://tailark.com/r/header-6.json
block,quartz,header,header-6,radix,registry/radix/pro/header-6.json,source/radix/pro/blocks/header/six/index.tsx,previews/quartz/header-6.png,https://tailark.com/r/radix/header-6.json
block,quartz,header,header-7,base,registry/base/pro/header-7.json,source/base/pro/blocks/header/seven/index.tsx,previews/quartz/header-7.png,https://tailark.com/r/header-7.json
block,quartz,header,header-7,radix,registry/radix/pro/header-7.json,source/radix/pro/blocks/header/seven/index.tsx,previews/quartz/header-7.png,https://tailark.com/r/radix/header-7.json
block,quartz,header,header-8,base,registry/base/pro/header-8.json,source/base/pro/blocks/header/eight/index.tsx,previews/quartz/header-8.png,https://tailark.com/r/header-8.json
block,quartz,header,header-8,radix,registry/radix/pro/header-8.json,source/radix/pro/blocks/header/eight/index.tsx,previews/quartz/header-8.png,https://tailark.com/r/radix/header-8.json
block,quartz,hero-section,hero-section-1,base,registry/base/pro/hero-section-1.json,source/base/pro/blocks/hero-section/one/index.tsx;source/base/pro/blocks/hero-section/one/header.tsx,previews/quartz/hero-section-1.png,https://tailark.com/r/hero-section-1.json
block,quartz,hero-section,hero-section-1,radix,registry/radix/pro/hero-section-1.json,source/radix/pro/blocks/hero-section/one/index.tsx;source/radix/pro/blocks/hero-section/one/header.tsx,previews/quartz/hero-section-1.png,https://tailark.com/r/radix/hero-section-1.json
block,quartz,hero-section,hero-section-10,base,registry/base/pro/hero-section-10.json,source/base/pro/blocks/hero-section/ten/index.tsx;source/base/pro/blocks/hero-section/ten/header.tsx;source/base/pro/blocks/hero-section/ten/illustrations/product.tsx,previews/quartz/hero-section-10.png,https://tailark.com/r/hero-section-10.json
block,quartz,hero-section,hero-section-10,radix,registry/radix/pro/hero-section-10.json,source/radix/pro/blocks/hero-section/ten/index.tsx;source/radix/pro/blocks/hero-section/ten/header.tsx;source/radix/pro/blocks/hero-section/ten/illustrations/product.tsx,previews/quartz/hero-section-10.png,https://tailark.com/r/radix/hero-section-10.json
block,quartz,hero-section,hero-section-11,base,registry/base/pro/hero-section-11.json,source/base/pro/blocks/hero-section/eleven/index.tsx;source/base/pro/blocks/hero-section/eleven/header.tsx;source/base/pro/blocks/hero-section/eleven/logo-cloud.tsx;source/base/pro/blocks/hero-section/eleven/illustrations/product.tsx,previews/quartz/hero-section-11.png,https://tailark.com/r/hero-section-11.json
block,quartz,hero-section,hero-section-11,radix,registry/radix/pro/hero-section-11.json,source/radix/pro/blocks/hero-section/eleven/index.tsx;source/radix/pro/blocks/hero-section/eleven/header.tsx;source/radix/pro/blocks/hero-section/eleven/logo-cloud.tsx;source/radix/pro/blocks/hero-section/eleven/illustrations/product.tsx,previews/quartz/hero-section-11.png,https://tailark.com/r/radix/hero-section-11.json
block,quartz,hero-section,hero-section-12,base,registry/base/pro/hero-section-12.json,source/base/pro/blocks/hero-section/twelve/index.tsx;source/base/pro/blocks/hero-section/twelve/header.tsx;source/base/pro/blocks/hero-section/twelve/illustrations/meet.tsx,previews/quartz/hero-section-12.png,https://tailark.com/r/hero-section-12.json
block,quartz,hero-section,hero-section-12,radix,registry/radix/pro/hero-section-12.json,source/radix/pro/blocks/hero-section/twelve/index.tsx;source/radix/pro/blocks/hero-section/twelve/header.tsx;source/radix/pro/blocks/hero-section/twelve/illustrations/meet.tsx,previews/quartz/hero-section-12.png,https://tailark.com/r/radix/hero-section-12.json
